Participant ID,Image Assigned (ID),Orientation,Thatcherized?,Response,Correct?,Response Time (s)
P01,img_122,Inverted,Yes,,,
P01,img_028,Upright,No,,,
P01,img_032,Upright,No,,,
P01,img_184,Inverted,Yes,,,
P01,img_088,Inverted,Yes,,,
P01,img_198,Upright,Yes,,,
P01,img_082,Inverted,Yes,,,
P01,img_115,Upright,No,,,
P01,img_142,Inverted,No,,,
P01,img_043,Upright,Yes,,,
P01,img_005,Inverted,Yes,,,
P01,img_015,Upright,Yes,,,
P01,img_054,Upright,Yes,,,
P01,img_008,Inverted,No,,,
P01,img_021,Upright,No,,,
P01,img_135,Inverted,No,,,
P01,img_039,Upright,Yes,,,
P01,img_175,Upright,No,,,
P01,img_038,Inverted,Yes,,,
P01,img_144,Inverted,No,,,
P01,img_124,Inverted,No,,,
P01,img_101,Upright,No,,,
P01,img_067,Inverted,Yes,,,
P01,img_161,Upright,No,,,
P01,img_025,Inverted,Yes,,,
P01,img_176,Upright,No,,,
P01,img_080,Upright,Yes,,,
P01,img_181,Inverted,Yes,,,
P01,img_040,Inverted,Yes,,,
P01,img_197,Inverted,Yes,,,
P01,img_093,Upright,Yes,,,
P01,img_026,Inverted,No,,,
P01,img_191,Inverted,No,,,
P01,img_171,Inverted,No,,,
P01,img_179,Upright,No,,,
P01,img_173,Inverted,Yes,,,
P01,img_030,Upright,Yes,,,
P01,img_143,Upright,No,,,
P01,img_062,Upright,No,,,
P01,img_052,Inverted,Yes,,,
P02,img_195,Inverted,No,,,
P02,img_019,Inverted,Yes,,,
P02,img_096,Inverted,Yes,,,
P02,img_012,Inverted,No,,,
P02,img_030,Upright,Yes,,,
P02,img_153,Inverted,Yes,,,
P02,img_040,Inverted,Yes,,,
P02,img_145,Inverted,No,,,
P02,img_073,Upright,Yes,,,
P02,img_051,Upright,Yes,,,
P02,img_127,Upright,Yes,,,
P02,img_022,Inverted,Yes,,,
P02,img_172,Upright,No,,,
P02,img_177,Inverted,No,,,
P02,img_142,Inverted,No,,,
P02,img_026,Inverted,No,,,
P02,img_032,Upright,No,,,
P02,img_184,Inverted,Yes,,,
P02,img_002,Inverted,Yes,,,
P02,img_038,Inverted,Yes,,,
P02,img_043,Upright,Yes,,,
P02,img_169,Upright,Yes,,,
P02,img_136,Inverted,Yes,,,
P02,img_101,Upright,No,,,
P02,img_179,Upright,No,,,
P02,img_020,Inverted,Yes,,,
P02,img_008,Inverted,No,,,
P02,img_067,Inverted,Yes,,,
P02,img_053,Upright,Yes,,,
